TSNE_1,TSNE_2,TSNE_26,TSNE_27,TSNE_51,TSNE_52,TSNE_76,TSNE_77,TSNE_101,TSNE_102,TSNE_126,TSNE_127,TSNE_151,TSNE_152,TSNE_176,TSNE_177,TSNE_201,TSNE_202,TSNE_226,TSNE_227,TSNE_251,TSNE_252,TSNE_276,TSNE_277,TSNE_301,TSNE_302,TSNE_326,TSNE_327,TSNE_351,TSNE_352,TSNE_376,TSNE_377,TSNE_401,TSNE_402,TSNE_426,TSNE_427,TSNE_451,TSNE_452,TSNE_476,TSNE_477,TSNE_501,TSNE_502,TSNE_526,TSNE_527,TSNE_551,TSNE_552,TSNE_576,TSNE_577,TSNE_601,TSNE_602,TSNE_626,TSNE_627,TSNE_651,TSNE_652,TSNE_676,TSNE_677,-logC
6.4507523,4.1996307,3.3829577,0.46518457,5.6491413,-0.14633057,6.6640234,-0.11605957,7.718018,-0.08179093,9.125048,-0.03420873,12.363108,0.2680867,13.666018,0.6598242,14.91509,-0.40971977,15.250098,0.3855121,15.449119,-1.0154817,14.165766,-0.17976174,16.388418,0.17072555,16.562376,0.8445914,-14.444252,0.1413462,-11.506569,1.0154196,-6.6411567,-0.1836806,-2.0893023,-0.7981588,1.510986,-0.9027235,2.488908,0.359492,3.0479703,0.25847352,4.934654,-0.74538976,6.270125,0.31991205,9.736928,0.22594814,7.6701736,-0.91819024,6.3602633,0.035930682,4.812741,0.95686865,2.7048843,0.3448852,4.259637310505756
15.207777,6.014815,16.691862,-0.28010148,14.880702,-0.47917464,11.15941,-0.073259234,11.272112,-0.135319,12.650225,0.14699535,16.31819,0.23442754,17.15561,0.66900414,17.186365,-0.40531012,16.858362,0.07347782,16.91409,-1.0976006,15.909354,-0.36895418,18.506716,-0.4765855,19.3941,1.4843551,-18.676874,0.36975735,-17.018213,0.55284196,-14.102936,1.2657942,-11.3445425,-0.7885302,-5.689601,0.27237722,-2.9879642,-0.10823253,-1.6506658,0.3578185,1.4212536,-0.6656629,4.6596847,-0.22179106,9.558153,-0.036756862,8.371586,-0.5753555,8.384819,0.26979715,7.8429866,1.0657964,6.274612,0.3329416,4.187086643357144
8.897544,4.3769765,9.974415,-0.40414858,8.369958,-0.28280953,8.28971,0.11101365,9.253228,0.22849427,11.4505625,-0.12348506,15.990289,0.65090007,17.804691,0.54765636,18.154497,-0.42142767,17.947542,-0.11938421,17.944014,-0.6460277,16.97278,-0.5226315,19.444035,-0.5037392,20.326677,1.5130074,-19.84829,0.4439648,-18.813152,0.7032849,-16.725883,1.2390399,-13.598378,-1.0852854,-7.5900083,0.57541794,-3.538747,-0.20408243,-1.5489924,0.08238283,1.9817827,-0.9144921,5.5599985,0.021567594,10.068772,-0.12399698,8.985561,-0.6026675,8.934628,0.28790474,8.4478245,1.0893145,6.8992724,0.56359935,4.154901959985743
8.105636,4.155282,1.7109472,0.72285324,1.2729498,-0.37937975,1.2815521,-0.18161155,4.310854,-0.38336906,8.094754,-0.40752682,13.540648,0.8317139,16.66709,0.2752383,17.87393,-0.51445454,17.919655,0.3930476,18.086784,-0.61164933,17.261469,-0.7634049,19.785728,-0.5786859,20.778242,1.5901995,-20.402027,0.8186942,-19.76678,0.6379127,-18.031103,1.1278788,-15.435664,-1.2730902,-8.830301,0.80347455,-4.085762,-0.25356275,-1.9324105,0.24294817,1.9139135,-0.93484837,5.8590355,-0.069667354,10.356604,-0.10701894,9.260154,-0.70270264,8.773973,-0.03715072,7.5092473,1.2137198,5.8042526,0.4225957,4.1249387366083
14.5256195,6.3003206,12.059836,-0.859676,8.222302,-0.66573465,7.857232,-0.11533592,9.115384,0.29172182,12.168178,-0.15364082,17.414555,0.5804353,19.117615,0.29453224,19.14632,-1.2301193,19.086685,0.45403996,19.145996,-0.95092255,18.451237,-0.5349143,20.912819,-0.43629265,21.933214,1.4625249,-21.7113,0.30837584,-21.278606,0.23357187,-20.389458,1.1283704,-19.678955,-1.5204034,-14.638448,0.9422565,-7.191392,-0.88016695,-3.886257,0.047336534,0.8927224,-0.8439994,5.643392,-0.28318313,10.906404,-0.37241682,10.613192,-1.4872736,10.739884,0.1266314,10.749596,1.0962903,9.318264,0.63807034,4.096910013008056
8.501884,3.7837198,2.2657328,0.6125343,1.8339251,-0.5722411,1.2532392,-0.09683759,4.031433,-0.34779164,8.327125,-0.5706723,14.695329,0.94947726,17.897835,0.19768591,18.725206,-0.6886018,18.66516,0.41626427,18.853376,-0.695784,18.212944,-0.41523087,20.69848,0.08243119,21.776312,1.0102842,-21.54832,0.77188724,-21.172817,0.124876745,-20.2637,1.0123501,-19.26157,-1.4990457,-13.630455,0.9292806,-5.8870387,-0.71534604,-2.0404596,-0.13459226,3.7532659,-1.5919105,9.883853,0.4072254,15.077417,-0.4020778,14.9425535,-1.6207708,14.75473,0.09422938,14.562338,1.6778843,14.054355,1.462912,4.070581074285707
13.261046,5.8158283,9.443433,-1.5126595,2.3205762,-0.9955114,0.5646146,-0.018869003,2.6396928,-0.07961837,6.485043,-0.48217028,12.683426,0.94576484,16.572262,0.21738705,17.907843,-0.7956131,18.176851,-0.097547695,18.388855,-1.2078985,17.737406,-0.86476785,20.320522,-0.55592024,21.377838,1.5649861,-21.096876,0.19711083,-20.557932,0.44414428,-19.136168,1.3289199,-17.351223,-1.4313322,-9.7908745,1.0872588,-3.8774643,-0.4663845,-0.562151,-0.21752258,6.140834,-1.9586654,11.772712,1.1603959,16.463007,-0.4490384,16.105892,-1.5607139,15.931789,0.19691141,15.742378,1.2931876,15.292946,1.1005614,4.045757490560675
12.762874,5.1176267,10.024863,-1.5304798,2.7368696,-0.72215503,0.8566355,-0.006794985,3.0846925,-0.15634802,7.2829437,-0.6321919,13.990481,1.0809518,17.62192,0.14418784,18.481497,-0.85998374,18.581137,0.465445,18.807938,-1.1673082,18.189798,-0.94819766,20.76181,-0.51206464,21.805786,1.5435277,-21.538347,0.77494246,-21.05801,0.6586142,-19.903004,1.2384795,-18.391645,-1.5296597,-10.715767,1.1591774,-4.0894823,-0.51244915,-0.46870795,-0.2046195,6.5560136,-2.1930418,12.590847,1.29017,17.208416,-0.35949257,16.684454,-1.6023952,16.119263,0.7580976,15.683911,1.8412383,15.161611,1.5898517,4.022276394711152
13.780005,5.4342337,11.1550045,-1.1048995,6.117684,-0.8902356,4.753108,0.0013050556,5.7178607,-0.35696772,9.935224,-0.46665123,16.769209,0.86263025,19.111343,0.30040678,19.1974,-1.3539114,19.199898,0.65792674,19.409073,-1.096567,18.745804,-0.76118934,21.266907,-0.19449641,22.30593,1.2561027,-22.095722,0.52649957,-21.676014,0.43183476,-20.94911,0.9527632,-20.554884,-1.5137713,-15.323849,1.1065531,-6.6375084,-0.8862329,-2.0486975,-0.28387246,4.97586,-1.9624374,11.895284,1.3000021,17.050386,-0.48660764,16.741844,-1.6259904,16.11851,0.25797608,15.785065,1.2937763,15.318762,1.6312551,4.0
18.505697,7.0371923,21.513617,0.2701656,22.176838,0.11498018,20.686123,-0.05802217,20.337416,1.2468013,19.29509,-1.5415134,19.374048,2.9814672,18.271702,-2.62799,18.247417,-3.3984625,19.093458,2.3086536,20.004719,-1.6635729,16.952692,0.34709513,6.6969934,-2.5789053,-19.408234,-1.582763,20.997114,0.9848207,19.922533,2.1857212,19.309355,1.5595587,18.145752,2.6575751,17.449638,-4.147012,16.800999,3.4652128,17.452051,3.6567125,18.963469,1.7663484,17.522675,5.822333,20.21498,-4.4919877,20.37646,1.0900697,19.730099,-2.099039,20.0345,0.3199862,19.388254,-0.5026256,5.301029995663981
